category,entity_id,category_readable,entity_alias_basket,entity_alias_readable,natural_source_name,entity_alias,entity_alias_synonyms,molecules.bond_stereo_count,molecules.undefined_atom_stereocenter_count,molecules.taste,molecules.functional_groups,molecules.fooddb_flavor_profile,molecules.supersweetdb_id,molecules.fema_number,molecules.fooddb_id,molecules.common_name,molecules.hba_count,molecules.synthetic,molecules.isotope_atom_count,molecules.bitterdb_id,molecules.covalently_bonded_unit_count,molecules.molecular_weight,molecules.super_sweet,molecules.charge,molecules.flavornet_id,molecules.fenoroli_and_os,molecules.exact_mass,molecules.pubchem_id,molecules.bitter,molecules.iupac_name,molecules.volume3d,molecules.unknown_natural,molecules.odor,molecules.num_rotatablebonds,molecules.smile,molecules.inchi,molecules.undefined_bond_stereocenter_count,molecules.defined_bond_stereocenter_count,molecules.xlogp,molecules.topological_polor_surfacearea,molecules.cas_id,molecules.natural,molecules.flavor_profile,molecules.hbd_count,molecules.fema_flavor_profile,molecules.complexity,molecules.heavy_atom_count,molecules.defined_atom_stereocenter_count,molecules.monoisotopic_mass,molecules.atom_stereo_count
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",1,0,,hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@carboxylic acid derivative@carboxylic acid@alkene@aromatic compound,odorless,,,FDB010557,Sinapic Acid,5,0,0,,1,224.212,,0,0,0,224.068,637775,0,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",172.3,0,,4,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+",0,1,1.5,76,530-59-6@7362-37-0,1,odorless,2,,249,16,0,224.068,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,0,,carbonyl compound@ketone,minty,,3910,FDB003481,Cyclopentanone,1,0,0,,1,84.118,,0,0,1,84.058,8452,0,cyclopentanone,72.7,0,"distinctive ethereal odor, somewhat like peppermint",0,C1CCC(=O)C1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,0,0,0.4,17.1,120-92-3,1,minty,0,"Mint, Cool",58.3,6,0,84.058,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,2,bitter,carbonyl compound@ketone,mint@fresh@peppermint@sweet@cool@minty@green,,2667@3460,FDB014627,2-Isopropyl-5-methylcyclohexanone,1,0,0,,1,154.253,,0,1,1,154.136,6986,0,5-methyl-2-propan-2-ylcyclohexan-1-one,133.2,0,slight peppermint odor@characteristic odor similar to menthol,1,CC1CCC(C(=O)C1)C(C)C,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",0,0,2.7,17.1,491-07-6@10458-14-7@1074-95-9@89-80-5,1,mint@fresh@peppermint@sweet@cool@minty@green,0,"Green, Fresh, Mint@Mint, Cool",149,11,0,154.136,2
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,0,,carbonyl compound@aldehyde,citrus peel@incense@amber@wax@waxy@fatty@musk@flower@dry,,2763,FDB012621,Tetradecanal,1,0,0,,1,212.377,,0,1,1,212.214,31291,0,tetradecanal,195.5,0,,12,CCCCCCCCCCCCCC=O,"InChI=1S/C14H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h14H,2-13H2,1H3",0,0,6,17.1,124-25-4,1,citrus peel@incense@amber@wax@waxy@fatty@musk@flower@dry,0,,121,15,0,212.214,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,0,initially slightly bitter taste then sweet & reminiscent of peach@sharp burning taste,hydroxy compound@alcohol@primary alcohol@aromatic compound,spice@rose@lilac@rose dried@rose flower@bitter@floral@rose water@honey,,2858,FDB012152,2-Phenylethanol,1,0,0,750,1,122.167,,0,1,1,122.073,6054,1,2-phenylethanol,104.6,0,characteristic rose-like odor@pure pea has an extremely mild roselike odor. >@99% pure vary in odor because of the impurities present.,2,C1=CC=C(C=C1)CCO,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",0,0,1.4,20.2,1321-27-3@60-12-8,1,lilac@rose@rose water@honey@rose flower@floral@spice@bitter@rose dried,1,"Fruit, Honey, Lilac, Rose, Wine",65,9,0,122.073,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,1,herbal pepper flavoring,hydroxy compound@alcohol@tertiary alcohol@alkene,must@pepper@turpentine@musty@woody@sweet@nutmeg@earth,,2248,FDB014601,Terpinen-4-ol,1,0,0,,1,154.253,,0,1,1,154.136,11230,0,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,131.4,0,pine,1,CC1=CCC(CC1)(C(C)C)O,"InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3",0,0,2.2,20.2,28219-82-1@562-74-3,1,must@pepper@turpentine@musty@woody@sweet@nutmeg@earth,1,"Earth, Must, Nutmeg, Wood",170,11,0,154.136,1
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,0,peppermint taste /dl-menthol/@cooling taste /dl-menthol/,hydroxy compound@alcohol@secondary alcohol,camphoraceous@minty@sweet@mentholic,,2665,FDB014500,(+)-Neomenthol,1,0,0,,1,156.269,,0,0,1,156.151,439263,0,"(1S,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",134.5,0,peppermint odor /dl-menthol/@cooling odor /89-78-1/,1,CC1CCC(C(C1)O)C(C)C,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9+,10+/m1/s1",0,0,3,20.2,491-01-0@3623-51-6@89-78-1@2216-52-6,1,camphoraceous@minty@sweet@mentholic,1,"Mint, Cool",120,11,3,156.151,3
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,0,very acid taste@tart taste@pure aq soln are slightly bitter & taste build up is slow,carboxylic acid derivative@carboxylic acid,sour@odorless,,4719,FDB001931,succinic acid,4,0,0,,1,118.088,,0,0,0,118.027,1110,0,butanedioic acid,86.9,0,odorless,3,C(CC(=O)O)C(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",0,0,-0.6,74.6,110-15-6,1,sour@odorless,2,Alters several flavor and/or taste characteristics,92.6,8,0,118.027,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",1,0,,carboxylic acid derivative@carboxylic acid ester@alkene@aromatic compound,spicy@berry@powdery@sweet@plum@honey@balsam@fruity@flower@cinnamon,,,FDB012002,(Z)-Ethyl cinnamate,2,0,0,,1,176.215,,0,0,0,176.084,5284656,0,ethyl (Z)-3-phenylprop-2-enoate,147.6,0,,4,CCOC(=O)C=CC1=CC=CC=C1,"InChI=1S/C11H12O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8-",0,1,3,26.3,4192-77-2,1,spicy@berry@powdery@sweet@plum@honey@balsam@fruity@flower@cinnamon,0,,179,13,0,176.084,0
spice,328,Spice,"cassia, cassia-leaf, cassia-oil",Cassia,Cinnamomum,cassia,"Chinese Cassia, Chinese Cinnamon",0,5,,"carbonyl compound@acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@phenol or hydroxyhetarene@oxo(het)arene@aromatic compound@heterocyclic compound",bitter,,,FDB012221,NSC5112,10,0,0,,1,432.381,,0,0,0,432.106,5284639,0,"5-hydroxy-3-(4-hydroxyphenyl)-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",309.2,0,,4,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,"InChI=1S/C21H20O10/c22-7-15-18(26)19(27)20(28)21(31-15)30-11-5-13(24)16-14(6-11)29-8-12(17(16)25)9-1-3-10(23)4-2-9/h1-6,8,15,18-24,26-28H,7H2",0,0,0.9,166,529-59-9,1,bitter,6,,675,31,0,432.106,5
