category,entity_id,category_readable,entity_alias_basket,entity_alias_readable,natural_source_name,entity_alias,entity_alias_synonyms,molecules.bond_stereo_count,molecules.undefined_atom_stereocenter_count,molecules.taste,molecules.functional_groups,molecules.fooddb_flavor_profile,molecules.supersweetdb_id,molecules.fema_number,molecules.fooddb_id,molecules.common_name,molecules.hba_count,molecules.synthetic,molecules.isotope_atom_count,molecules.bitterdb_id,molecules.covalently_bonded_unit_count,molecules.molecular_weight,molecules.super_sweet,molecules.charge,molecules.flavornet_id,molecules.fenoroli_and_os,molecules.exact_mass,molecules.pubchem_id,molecules.bitter,molecules.iupac_name,molecules.volume3d,molecules.unknown_natural,molecules.odor,molecules.num_rotatablebonds,molecules.smile,molecules.inchi,molecules.undefined_bond_stereocenter_count,molecules.defined_bond_stereocenter_count,molecules.xlogp,molecules.topological_polor_surfacearea,molecules.cas_id,molecules.natural,molecules.flavor_profile,molecules.hbd_count,molecules.fema_flavor_profile,molecules.complexity,molecules.heavy_atom_count,molecules.defined_atom_stereocenter_count,molecules.monoisotopic_mass,molecules.atom_stereo_count
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,"hemiacetal@acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@heterocyclic compound",odorless,9447,,FDB016133,alpha-Maltose,11,0,0,,1,342.297,Sweet,0,0,0,342.116,439341,0,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",231.3,0,,4,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11+,12-/m1/s1",0,0,-4.7,190,69-79-4@9005-25-8@4482-75-1@9005-84-9@133-99-3@9050-36-6,1,odorless@sweet,8,,382,23,10,342.116,10
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,1,,carbonyl compound@ketone@heterocyclic compound,butterscotch@caramel@sweet@candy,,,FDB011860,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,3,0,0,,1,142.154,,0,1,1,142.063,33931,0,2-ethyl-4-hydroxy-5-methylfuran-3-one,110.4,0,,1,CCC1C(=O)C(=C(O1)C)O,"InChI=1S/C7H10O3/c1-3-5-7(9)6(8)4(2)10-5/h5,8H,3H2,1-2H3",0,0,1.2,46.5,27538-10-9,1,butterscotch@caramel@sweet@candy,1,,193,10,0,142.063,1
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,aromatic compound@heterocyclic compound,hazelnut@roasted@barley@sweet corn@pungent,,4015,FDB012468,Pyrazine,2,0,0,,1,80.09,,0,0,1,80.037,9261,0,pyrazine,64.9,0,,0,C1=CN=CC=N1,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H,0,0,-0.2,25.8,290-37-9,1,hazelnut@roasted@barley@sweet corn@pungent,0,,26.5,6,0,80.037,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,"carbonyl compound@ketone@acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@phenol or hydroxyhetarene@aromatic compound@heterocyclic compound",bitter,,,FDB015554,Phlorizin,10,0,0,397,1,436.413,,0,0,0,436.137,6072,1,"1-[2,4-dihydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-(4-hydroxyphenyl)propan-1-one",318.3,0,,7,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,"InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2/t16-,18-,19+,20-,21-/m1/s1",0,0,1.2,177,7061-54-3@60-81-1,1,bitter,7,,581,31,5,436.137,5
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carboxylic acid derivative@carboxylic acid,pungent@cheese,,3463,FDB008206,4-Methylpentanoic Acid,2,0,0,,1,116.16,,0,0,1,116.084,12587,0,4-methylpentanoic acid,98.4,0,,3,CC(C)CCC(=O)O,"InChI=1S/C6H12O2/c1-5(2)3-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)",0,0,1.4,37.3,646-07-1,1,pungent@cheese,1,Floral,76.6,8,0,116.084,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,unpleasant cabbage taste,thiol (sulfanyl compound)@alkylthiol,sulfur@garlic@gasoline@decomposing cabbage,,2716,FDB011886,methanethiol,1,0,0,,1,48.103,,0,1,1,48.003,878,0,methanethiol,38.8,0,"odor of rotten cabbage@sulfidy@powerful, unpleasant odor@disagreeable odor like garlic@pungent, decayed cabbage.",0,CS,"InChI=1S/CH4S/c1-2/h2H,1H3",0,0,0.5,1,74-93-1,1,sulfur@garlic@gasoline@decomposing cabbage,1,"Cabbage, Garlic, Pungent, Sulfur",2,2,0,48.003,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carbonyl compound@hydroxy compound@phenol or hydroxyhetarene@oxo(het)arene@aromatic compound@heterocyclic compound,bitter,,,FDB002608,daidzein,4,0,0,801,1,254.241,,0,0,0,254.058,5281708,1,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,194.2,0,,1,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",0,0,2.5,66.8,486-66-8,1,bitter,2,,382,19,0,254.058,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,burning aromatic taste@similar to bitter almond,carbonyl compound@aldehyde@aromatic compound,strong@sharp@burnt sugar@bitter@sweet@cherry@almond,,2127,FDB014661,benzaldehyde,1,0,0,15,1,106.124,,0,1,1,106.042,240,1,benzaldehyde,90.5,0,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,1,C1=CC=C(C=C1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,0,0,1.5,17.1,100-52-7,1,cherry@almond@sweet@burnt sugar@sharp@strong@bitter,0,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper",72.5,8,0,106.042,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,sharp burning taste,hydroxy compound@alcohol@primary alcohol@aromatic compound,berry@balsamic@rose@floral@walnut@sweet@cherry@phenolic@flower@grapefruit,,2137,FDB008745,benzyl alcohol,1,0,0,,1,108.14,,0,1,1,108.058,244,0,phenylmethanol,92.4,0,faint aromatic odor,1,C1=CC=C(C=C1)CO,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",0,0,1.1,20.2,100-51-6,1,berry@balsamic@rose@floral@walnut@sweet@cherry@phenolic@flower@grapefruit,1,"Boiled Cherries, Moss, Roasted Bread, Rose",55.4,8,0,108.058,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,"hemiacetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@heterocyclic compound",bitter,9546,,FDB001126,alpha-L-Sorbopyranose,6,0,0,,1,180.156,Sweet,0,0,0,180.063,441484,0,"(2R,3S,4R,5S)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",123.2,0,,1,C1C(C(C(C(O1)(CO)O)O)O)O,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5-,6+/m0/s1",0,0,-2.8,110,87-79-6@470-15-5,1,sweet@bitter,5,,162,12,4,180.063,4
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,1,,carbonyl compound@ketone@hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@aromatic compound@heterocyclic compound,bitter,,,FDB000655,DL-Liquiritigenin,4,0,0,896,1,256.257,,0,0,0,256.074,1889,1,"7-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",196.1,0,,1,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2",0,0,2.2,66.8,578-86-9@69097-97-8,1,bitter,2,,335,19,0,256.074,1
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carbonyl compound@ketone@hydroxy compound@phenol or hydroxyhetarene@aromatic compound,odorless,,4390,FDB015553,phloretin,5,0,0,909,1,274.272,,0,0,1,274.084,4788,1,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",210.4,0,,4,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2",0,0,2.6,98,60-82-2,1,odorless@bitter,4,,312,20,0,274.084,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,"characeteristic fruity taste (on dilution)@green, woody, vegetative, apple, grassy, citrus and orange with a fresh lingering aftertaste",carbonyl compound@aldehyde,leafy@grass@sweaty@tallow@fat@fresh@fatty@fruity@aldehydic@green,,2557,FDB008068,Hexanal,1,0,0,,1,100.161,,0,1,1,100.089,6184,0,hexanal,91.4,0,"characteristic fruity odor (on dilution)@strong, green grass odor@sharp, aldehyde odor",4,CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",0,0,1.8,17.1,66-25-1,1,leafy@grass@sweaty@tallow@fat@fresh@fatty@fruity@aldehydic@green,0,"Apple, Fat, Fresh, Green, Oil",41.4,7,0,100.089,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,bitter,"acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@carbonitrile@heterocyclic compound",bitter,,,FDB011809,Linamarin,7,0,0,282,1,247.247,,0,0,0,247.106,11128,1,"2-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropanenitrile",176.8,0,,3,CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,"InChI=1S/C10H17NO6/c1-10(2,4-11)17-9-8(15)7(14)6(13)5(3-12)16-9/h5-9,12-15H,3H2,1-2H3/t5-,6-,7+,8-,9+/m1/s1",0,0,-1.8,123,554-35-8,1,bitter,4,,311,17,5,247.106,5
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,1,,hydroxy compound@alcohol@primary alcohol,roasted@onion@malt@wine@fruity,,3998,FDB012107,2-Methyl-1-Butanol,1,0,0,,1,88.15,,0,1,1,88.089,8723,0,2-methylbutan-1-ol,79.8,0,,2,CCC(C)CO,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",0,0,1.2,20.2,1565-80-6@137-32-6@34713-94-5,1,roasted@onion@malt@wine@fruity,1,"Fish Oil, Green, Malt, Onion, Wine",27.1,6,0,88.089,1
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,1,,carboxylic acid derivative@carboxylic acid ester@lactone@heterocyclic compound,coconut@tobacco@coumarin@herbal@sweet,,2556,FDB008075,gamma-Caprolactone,2,0,0,,1,114.144,,0,1,1,114.068,12756,0,5-ethyloxolan-2-one,93.8,0,,1,CCC1CCC(=O)O1,"InChI=1S/C6H10O2/c1-2-5-3-4-6(7)8-5/h5H,2-4H2,1H3",0,0,0.7,26.3,695-06-7,1,coconut@tobacco@coumarin@herbal@sweet,0,Onion,98.7,8,0,114.068,1
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carboxylic acid derivative@carboxylic acid,sour@cheesy@sweat@rancid@cheese,,3348,FDB008051,Heptanoic Acid,2,0,0,,1,130.187,,0,0,1,130.099,8094,0,heptanoic acid,112.3,0,"disagreeable, rancid odor@faint tallow-like odor when spectroscopically pure.",5,CCCCCCC(=O)O,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)",0,0,2.5,37.3,111-14-8,1,sour@cheesy@sweat@rancid@cheese,1,"Apricot, Floral, Sour",79,9,0,130.099,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,"acrid taste@it has sweetish, afterward acrid, taste",hydroxy compound@phenol or hydroxyhetarene@carboxylic acid derivative@carboxylic acid@aromatic compound,nutty@faint@phenolic,,3985,FDB000882,salicylic acid,3,0,0,,1,138.122,,0,0,1,138.032,338,0,2-hydroxybenzoic acid,105.1,0,synthetic acid is odorless,1,C1=CC=C(C(=C1)C(=O)O)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",0,0,2.3,57.5,97952-82-4@69-72-7@29656-58-4@94891-34-6,1,nutty@faint@phenolic,2,,133,10,0,138.032,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carboxylic acid derivative@carboxylic acid,fatty@soapy@waxy@coconut,,2764,FDB002890,Tetradecanoic acid,2,0,0,,1,228.376,,0,0,1,228.209,11005,0,tetradecanoic acid,203.4,0,the odor should be faint with no rancidity.,12,CCCCCCCCCCCCCC(=O)O,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",0,0,5.3,37.3,544-63-8,1,fatty@soapy@waxy@coconut,1,"Burnt, Cheese, Harsh, Oil",155,16,0,228.209,0
